Date,Open,High,Low,Close,Volume,Adj Close
2011-02-22,487.80,496.15,485.25,492.75,34391900,365.954
2011-02-21,491.00,495.40,489.782,491.55,25272700,365.062
2011-02-18,493.70,494.70,490.95,493.00,31118100,366.139
2011-02-17,489.50,491.00,485.70,489.35,16958200,363.428
2011-02-16,485.60,490.80,484.50,488.85,32918400,363.057
2011-02-15,484.00,486.90,482.30,486.20,27267200,361.089
2011-02-14,480.00,481.388,473.14,480.00,2995300,356.484
2011-02-11,475.05,478.50,471.65,475.75,23730300,353.328
2011-02-10,475.05,478.45,471.75,476.70,31130600,354.034
2011-02-09,480.15,481.00,476.45,476.45,31444900,353.848
2011-02-08,480.00,485.10,479.15,484.50,33213700,356.247
2011-02-07,478.00,485.10,475.75,481.45,44143900,354.005
2011-02-04,481.60,483.85,475.40,476.25,43857700,350.181
2011-02-03,485.90,488.50,476.40,477.95,47647300,351.431
2011-02-02,495.00,495.60,485.55,488.00,34542600,358.821
2011-02-01,480.50,492.00,475.00,491.00,93142900,361.027
2011-01-31,484.55,489.75,482.05,484.85,31969600,356.505
2011-01-28,486.10,491.15,481.25,486.80,28892100,357.939
2011-01-27,489.00,491.75,484.60,486.40,40001700,357.644
2011-01-26,497.00,499.15,486.00,491.70,39408800,361.542
2011-01-25,500.00,500.40,493.85,497.00,46615900,365.439
2011-01-24,497.00,501.30,491.20,497.00,23156500,365.439
2011-01-21,497.30,497.30,497.30,497.30,40541700,365.659
2011-01-20,504.00,504.00,492.10,494.05,39313100,363.269
2011-01-19,514.00,514.90,504.70,506.00,30571900,372.056
2011-01-18,503.80,511.70,502.80,509.00,39555200,374.262
2011-01-17,510.00,512.10,500.20,500.70,40769000,368.159
2011-01-14,501.90,505.10,495.00,499.50,30740300,367.277
2011-01-13,506.00,512.00,503.00,503.70,36817600,370.365
2011-01-12,498.50,505.00,498.50,503.90,36696900,370.512
2011-01-11,490.00,500.00,490.00,500.00,37790600,367.644
2011-01-10,485.20,488.00,479.00,486.35,34115200,357.608
2011-01-07,496.00,498.15,486.80,492.50,31794700,362.13
2011-01-06,499.25,511.50,495.40,496.90,52215100,365.365
2011-01-05,492.00,500.50,490.70,499.25,53944600,367.093
2011-01-04,486.45,498.05,483.50,492.90,75345400,362.424
2010-12-31,475.00,475.00,465.55,465.55,9444100,342.314
2010-12-30,471.85,474.90,468.05,471.20,11015100,346.468
2010-12-29,473.35,475.95,469.75,473.35,12585000,348.049
2010-12-27,474.55,474.55,474.55,474.55,000,348.931
2010-12-24,475.75,478.50,471.80,474.55,2045600,348.931
2010-12-23,472.90,477.30,472.50,476.65,16880400,350.475
2010-12-22,471.65,472.05,467.95,470.00,17503100,345.586
2010-12-21,470.00,472.95,470.00,472.45,19398900,347.387
2010-12-20,466.25,471.50,465.20,469.10,27599800,344.924
2010-12-17,468.80,470.60,464.20,467.15,52272500,343.49
2010-12-16,470.00,470.00,470.00,470.00,58391600,345.586
2010-12-15,469.55,479.00,467.30,476.55,46026100,350.402
2010-12-14,458.35,475.10,457.20,473.10,62475400,347.865
2010-12-13,453.35,462.50,452.00,458.35,23466700,337.02
2010-12-10,452.00,456.80,449.15,455.00,24701200,334.556
2010-12-09,456.15,458.30,452.05,455.40,21956500,334.851
2010-12-08,454.00,462.58,452.30,456.65,35534200,335.77
2010-12-07,452.00,461.00,452.00,455.00,43869300,334.556
2010-12-06,439.50,451.00,436.75,450.00,36016900,330.88
2010-12-03,443.45,444.00,435.20,435.20,34823500,319.998
2010-12-02,435.50,442.90,433.10,441.60,38756600,324.704
2010-12-01,427.35,433.55,426.15,429.85,29597500,316.064
2010-11-30,431.30,432.90,425.00,425.95,41282600,313.196
2010-11-29,438.00,442.90,428.25,428.25,35406600,314.887
2010-11-26,434.05,439.45,430.00,436.00,18157700,320.586
2010-11-25,436.50,438.60,433.00,437.40,13310200,321.615
2010-11-24,432.20,439.85,428.15,437.00,34456200,321.321
2010-11-23,430.00,435.45,428.35,428.75,29930500,315.255
2010-11-22,439.50,440.95,429.70,431.00,22630600,316.909
2010-11-19,440.25,441.00,431.55,435.85,23692200,320.476
2010-11-18,437.55,442.55,434.30,438.25,18193900,322.24
2010-11-17,434.05,436.60,432.70,435.60,24645300,320.292
2010-11-16,444.75,446.60,435.55,435.65,29280400,320.329
2010-11-15,444.00,452.85,442.00,448.70,23832100,329.924
2010-11-12,443.70,452.20,441.30,445.95,31960800,327.902
2010-11-11,449.10,452.80,445.00,449.80,31886400,330.733
2010-11-10,449.05,450.20,444.00,445.45,42858600,327.534
2010-11-09,445.25,459.20,443.05,454.45,54265200,334.152
2010-11-08,447.90,449.00,442.10,444.00,28103100,326.468
2010-11-05,447.95,451.35,441.75,446.35,41947300,328.196
2010-11-04,441.05,446.95,439.05,445.10,39724500,327.277
2010-11-03,434.95,444.25,433.65,439.30,49097500,323.012
2010-11-02,425.50,432.55,424.50,431.65,35408800,317.387
2010-11-01,426.05,428.30,420.70,424.00,21893600,311.762
2010-10-29,422.75,428.75,420.95,425.80,36890800,313.086
2010-10-28,423.35,428.10,420.55,423.00,26311500,311.027
2010-10-27,426.35,426.35,418.25,419.05,39769600,308.123
2010-10-26,428.05,431.40,422.10,426.35,24878700,313.49
2010-10-25,434.20,434.95,428.00,428.65,19924200,315.182
2010-10-22,430.05,434.60,427.25,428.70,25308800,315.218
2010-10-21,430.20,434.95,426.90,432.50,38257800,318.012
