Date,Open,High,Low,Close,Volume,Adj Close
2011-02-22,2165.50,2187.24,2137.25,2181.00,3243000,1607.69
2011-02-21,2185.00,2194.04,2160.50,2166.00,2061500,1596.63
2011-02-18,2156.00,2185.00,2149.50,2184.50,3288900,1610.27
2011-02-17,2141.50,2161.50,2137.00,2158.50,2476200,1591.10
2011-02-16,2116.50,2141.00,2110.50,2138.50,2855700,1576.36
2011-02-15,2107.50,2133.82,2102.50,2111.50,3736000,1556.46
2011-02-14,2135.00,2135.00,2087.49,2093.50,1126700,1543.19
2011-02-11,2126.50,2130.50,2107.00,2124.50,3676100,1566.04
2011-02-10,2129.00,2144.00,2126.50,2127.50,2549700,1568.25
2011-02-09,2151.00,2160.00,2128.50,2135.00,3504500,1573.78
2011-02-08,2170.00,2175.00,2161.50,2171.50,3694400,1579.54
2011-02-07,2150.00,2183.00,2142.50,2169.00,3092100,1577.72
2011-02-04,2176.00,2182.00,2144.00,2145.00,4571700,1560.26
2011-02-03,2185.00,2190.00,2160.00,2177.50,6545700,1583.90
2011-02-02,2250.50,2259.50,2236.00,2251.00,3639300,1637.37
2011-02-01,2190.00,2248.50,2180.50,2245.50,4858800,1633.36
2011-01-31,2187.00,2199.00,2171.00,2171.00,6416100,1579.17
2011-01-28,2200.00,2200.00,2179.00,2181.00,4173300,1586.45
2011-01-27,2170.00,2202.00,2163.00,2193.50,4438400,1595.54
2011-01-26,2176.00,2185.00,2166.00,2177.00,3412100,1583.54
2011-01-25,2176.50,2178.50,2156.00,2162.00,3233900,1572.63
2011-01-24,2138.00,2180.00,2137.50,2170.50,3056800,1578.81
2011-01-21,2138.00,2138.00,2138.00,2138.00,3409300,1555.17
2011-01-20,2140.50,2144.50,2105.00,2107.00,4001800,1532.62
2011-01-19,2136.00,2160.50,2128.00,2140.00,4731100,1556.62
2011-01-18,2103.00,2135.50,2100.50,2129.50,2618100,1548.99
2011-01-17,2110.50,2120.50,2092.50,2098.00,1627600,1526.07
2011-01-14,2120.50,2131.50,2083.50,2107.50,2547400,1532.98
2011-01-13,2131.50,2132.50,2087.00,2120.00,5332500,1542.08
2011-01-12,2138.50,2143.00,2127.50,2134.50,3911800,1552.62
2011-01-11,2142.00,2162.50,2135.50,2138.00,3744600,1555.17
2011-01-10,2112.00,2143.00,2109.00,2137.50,2069300,1554.81
2011-01-07,2116.00,2128.00,2094.50,2119.00,2734900,1541.35
2011-01-06,2137.00,2146.50,2111.50,2117.00,4426800,1539.89
2011-01-05,2158.00,2158.00,2112.00,2141.50,4918600,1557.72
2011-01-04,2155.00,2167.00,2138.50,2159.50,4769400,1570.81
2010-12-31,2147.50,2147.50,2115.00,2115.00,1391000,1538.44
2010-12-30,2136.50,2143.50,2127.50,2134.50,1095500,1552.62
2010-12-29,2134.50,2149.00,2120.00,2140.00,1365100,1556.62
2010-12-27,2116.50,2116.50,2116.50,2116.50,000,1539.53
2010-12-24,2112.50,2117.50,2106.00,2116.50,352900,1539.53
2010-12-23,2111.50,2119.50,2097.00,2112.50,1230300,1536.62
2010-12-22,2094.00,2114.50,2086.50,2109.50,1811400,1534.44
2010-12-21,2075.50,2100.50,2074.50,2093.50,1981700,1522.80
2010-12-20,2073.50,2082.50,2061.00,2065.50,2566100,1502.43
2010-12-17,2067.50,2088.00,2062.00,2069.50,6972800,1505.34
2010-12-16,2055.50,2055.50,2055.50,2055.50,3198700,1495.16
2010-12-15,2070.00,2081.00,2056.50,2072.00,3614600,1507.16
2010-12-14,2060.50,2083.00,2050.00,2081.50,4526900,1514.07
2010-12-13,2030.00,2058.00,2030.00,2053.00,2394700,1493.34
2010-12-10,2027.50,2039.00,2016.50,2034.50,2485500,1479.88
2010-12-09,2032.50,2038.50,2011.00,2015.00,2617400,1465.70
2010-12-08,2017.50,2035.00,2011.00,2019.50,2477700,1468.97
2010-12-07,2009.00,2048.00,2009.00,2018.00,5331000,1467.88
2010-12-06,2006.00,2014.00,1985.50,2005.50,3937100,1458.79
2010-12-03,2010.50,2019.00,1993.50,2000.00,4926300,1454.79
2010-12-02,1981.00,2009.50,1963.50,2008.50,5066300,1460.97
2010-12-01,1923.50,1978.00,1917.00,1969.00,4176300,1432.24
2010-11-30,1933.50,1942.00,1905.00,1908.00,6324900,1387.87
2010-11-29,1975.50,1982.50,1919.00,1919.00,5424100,1395.87
2010-11-26,1948.50,1970.00,1929.50,1963.50,1948300,1428.24
2010-11-25,1964.00,1967.00,1952.00,1965.50,1561300,1429.69
2010-11-24,1950.50,1973.50,1927.50,1967.00,4357600,1430.79
2010-11-23,1963.50,1979.00,1932.00,1932.00,3739700,1405.33
2010-11-22,2004.00,2012.50,1963.50,1977.50,3553900,1438.42
2010-11-19,2020.50,2024.50,1980.50,2000.50,3147700,1455.15
2010-11-18,2004.00,2029.50,2000.50,2014.50,3558600,1465.34
2010-11-17,1963.00,1991.00,1958.00,1988.50,3457000,1446.42
2010-11-16,2008.00,2008.00,1964.00,1969.00,5087800,1432.24
2010-11-15,2001.50,2022.00,1996.50,2015.00,3765600,1465.70
2010-11-12,1991.50,2021.00,1980.50,2012.00,4350200,1463.52
2010-11-11,2002.00,2012.50,1996.00,2006.50,4344900,1459.52
2010-11-10,2012.50,2014.50,1996.50,2001.50,3956500,1455.88
2010-11-09,2025.00,2037.00,2007.00,2022.50,3977800,1471.16
2010-11-08,2042.50,2044.50,2016.00,2026.00,5070400,1473.70
2010-11-05,2061.50,2065.00,2038.50,2044.00,4691200,1486.79
2010-11-04,2030.00,2062.00,2023.00,2054.00,4610600,1494.07
2010-11-03,2048.00,2052.00,2007.50,2015.00,5556600,1465.70
2010-11-02,2018.50,2071.00,2018.50,2064.50,4265800,1480.11
2010-11-01,2018.00,2030.50,1998.50,2015.50,3460400,1444.98
2010-10-29,1965.00,2017.00,1960.00,1998.50,7433500,1432.79
2010-10-28,1970.50,1980.00,1955.00,1962.00,5508900,1406.62
2010-10-27,1963.00,1964.00,1946.50,1953.00,5203300,1400.17
2010-10-26,1952.00,1966.50,1949.50,1963.00,6688800,1407.34
2010-10-25,1967.50,1974.00,1957.50,1957.50,4149300,1403.40
2010-10-22,1930.00,1957.00,1930.00,1953.00,5355900,1400.17
2010-10-21,1932.00,1955.50,1923.50,1936.00,4993700,1387.98
2010-10-20,1928.00,1937.00,1922.00,1934.50,2899800,1386.91
2010-10-19,1954.00,1954.00,1931.00,1932.00,3683700,1385.12
2010-10-18,1929.00,1962.00,1922.50,1954.50,2025300,1401.25
2010-10-15,1939.00,1939.50,1918.00,1926.50,2988300,1381.17
2010-10-14,1944.00,1948.00,1917.00,1932.50,3678800,1385.48
2010-10-13,1921.50,1950.00,1921.50,1941.00,4247300,1391.57
2010-10-12,1900.00,1918.50,1892.00,1913.00,4883400,1371.50
2010-10-11,1907.00,1921.00,1901.50,1917.00,2277600,1374.36
2010-10-08,1909.00,1911.50,1890.00,1898.00,4379000,1360.74
2010-10-07,1915.00,1919.50,1901.00,1907.00,5996600,1367.19
2010-10-06,1888.50,1919.00,1884.00,1909.00,3610900,1368.63
2010-10-05,1867.50,1890.00,1858.50,1882.00,5232100,1349.27
2010-10-04,1894.00,1896.50,1862.50,1865.50,2387000,1337.44
2010-10-01,1866.00,1898.00,1855.00,1888.00,3887300,1353.57
2010-09-30,1842.00,1891.50,1838.50,1857.00,5330000,1331.35
2010-09-29,1864.50,1873.50,1830.50,1846.50,4144300,1323.82
2010-09-28,1844.50,1857.00,1821.50,1856.00,3440400,1330.63
2010-09-27,1851.50,1860.50,1834.00,1849.00,2391300,1325.61
2010-09-24,1832.00,1855.50,1824.50,1845.00,3044400,1322.74
2010-09-23,1842.00,1846.00,1803.50,1836.00,1897700,1316.29
2010-09-22,1853.00,1854.50,1823.50,1831.00,2933900,1312.71
2010-09-21,1843.00,1871.50,1843.00,1846.50,4253600,1323.82
2010-09-20,1831.00,1856.00,1824.00,1852.00,2074700,1327.76
2010-09-17,1840.00,1856.00,1811.00,1811.00,5341600,1298.37
2010-09-16,1806.50,1834.50,1804.50,1829.00,3226900,1311.27
2010-09-15,1814.00,1818.00,1798.50,1807.50,4016900,1295.86
2010-09-14,1815.00,1823.00,1797.50,1807.50,3313400,1295.86
2010-09-13,1803.50,1820.00,1800.50,1817.50,2760000,1303.03
2010-09-10,1775.00,1794.00,1764.50,1792.00,3526200,1284.75
2010-09-09,1760.00,1778.50,1754.00,1776.50,2174200,1273.63
2010-09-08,1735.00,1769.00,1733.00,1764.00,4807400,1264.67
2010-09-07,1754.00,1755.50,1729.50,1749.00,3719600,1253.92
2010-09-06,1765.00,1768.00,1756.00,1761.00,1503000,1262.52
2010-09-03,1732.00,1768.00,1726.00,1753.50,2148600,1257.14
2010-09-02,1720.00,1731.50,1710.50,1724.00,2279700,1235.99
2010-09-01,1679.50,1720.50,1665.50,1720.50,3364300,1233.49
2010-08-31,1640.00,1676.50,1633.50,1668.50,5352000,1196.20
2010-08-30,1673.00,1673.00,1673.00,1673.00,000,1199.43
2010-08-27,1656.50,1679.50,1648.00,1673.00,3050800,1199.43
2010-08-26,1651.50,1659.00,1637.00,1652.00,3061000,1184.38
2010-08-25,1644.50,1649.00,1628.00,1642.00,3342000,1177.21
2010-08-24,1670.50,1676.00,1642.00,1651.50,3487600,1184.02
2010-08-23,1662.50,1685.00,1653.50,1679.00,2005100,1203.73
2010-08-20,1679.50,1689.50,1657.50,1668.50,3602100,1196.20
2010-08-19,1732.00,1738.50,1673.00,1679.50,3429900,1204.09
2010-08-18,1731.00,1732.00,1717.00,1725.50,1949800,1237.07
2010-08-17,1701.50,1741.00,1698.50,1736.00,2392300,1244.60
2010-08-16,1719.50,1719.50,1684.00,1703.00,2354500,1220.94
2010-08-13,1726.50,1727.00,1691.00,1715.00,1624200,1229.54
2010-08-12,1708.50,1724.50,1695.50,1720.00,4376400,1233.13
2010-08-11,1740.50,1742.00,1715.50,1717.00,2675100,1230.98
2010-08-10,1757.00,1771.00,1743.00,1757.00,1981400,1259.65
2010-08-09,1744.00,1764.50,1741.50,1760.00,3269600,1261.80
2010-08-06,1747.00,1760.50,1716.00,1728.50,2184900,1239.22
2010-08-05,1756.50,1768.50,1735.00,1735.00,3655200,1243.88
2010-08-04,1738.50,1757.00,1730.00,1751.00,3813700,1255.35
2010-08-03,1746.50,1764.50,1734.50,1764.50,4046600,1245.75
2010-08-02,1701.00,1752.00,1694.00,1750.50,2767500,1235.87
2010-07-30,1711.50,1728.50,1679.50,1679.50,6438000,1185.74
2010-07-29,1712.00,1739.50,1707.00,1713.00,3892600,1209.39
2010-07-28,1756.50,1757.50,1705.50,1707.00,3694200,1205.16
2010-07-27,1750.50,1761.50,1737.50,1745.00,3872600,1231.98
2010-07-26,1770.00,1770.00,1732.00,1750.00,2748100,1235.51
2010-07-23,1755.50,1758.50,1741.00,1749.50,3342600,1235.16
2010-07-22,1700.50,1762.00,1699.50,1759.50,2633900,1242.22
2010-07-21,1713.00,1732.00,1711.00,1713.00,4027300,1209.39
2010-07-20,1726.00,1727.50,1687.00,1701.00,2402300,1200.92
2010-07-19,1713.50,1739.00,1706.00,1724.00,2330200,1217.16
2010-07-16,1727.50,1753.50,1717.00,1722.00,5937700,1215.75
2010-07-15,1737.00,1749.00,1719.50,1731.00,3090700,1222.10
2010-07-14,1743.00,1747.00,1727.50,1746.50,3210100,1233.04
2010-07-13,1690.50,1731.50,1690.50,1731.50,4029200,1222.45
2010-07-12,1686.00,1697.50,1672.50,1690.00,3025500,1193.15
2010-07-09,1675.50,1687.00,1661.50,1677.00,5094400,1183.98
2010-07-08,1617.00,1670.00,1611.50,1667.00,4696900,1176.92
2010-07-07,1577.50,1603.00,1566.00,1603.00,5611500,1131.73
2010-07-06,1568.00,1602.50,1565.00,1590.50,5333700,1122.91
2010-07-05,1578.00,1588.00,1561.00,1561.00,1870200,1102.08
2010-07-02,1563.00,1588.50,1550.00,1576.50,4105300,1113.02
2010-07-01,1611.00,1615.00,1552.00,1554.00,6093400,1097.14
2010-06-30,1640.00,1644.50,1615.50,1631.00,4769400,1151.50
